country_name,country_code,imports_usd,exports_usd,population_total,household_consumption_usd,government_expidenture_usd,gross_capital_formation_usd,gdp_usd
"Congo, Rep.",COG,7117259247.18917,7830871682.15092,6484437.0,8357794000.29056,2426126789.45336,4791782909.14412,16289316133.849789
Costa Rica,CRI,33590223066.19,39978465048.217,5152950.0,65855265401.1535,14418147719.3485,16243265856.3381,102904920958.8671
Cote d'Ivoire,CIV,24716415280.5918,29717948364.1736,32711547.0,66824489909.9551,8689326267.74114,19258206405.0926,99773555666.37064
Croatia,HRV,55696868835.294,50399507887.8431,3876200.0,59020149241.9607,25507109357.2549,25829154551.3725,105059052203.1372
Cyprus,CYP,37895679482.549,40225580413.4235,1370754.0,23335394765.7647,7620606277.64705,7939923692.47136,41225825666.75761
Czechia,CZE,238895347774.426,261773375377.022,10886878.0,185258568686.592,78269536605.4291,104620829905.859,391026962800.4761
Denmark,DNK,273377454737.711,324310154069.936,6009169.0,201884391112.163,107387479290.232,102322090733.772,462526660468.392
Djibouti,DJI,4430416214.1784,5109812571.38999,1184076.0,3178375093.5455,695066987.018979,71691021.3199341,4624529459.096003
Dominican Republic,DOM,35489329536.5107,30119023791.074,11520487.0,86440506272.9155,14862819341.1647,31474443892.0129,127407463760.65642
Ecuador,ECU,36383153500.0,40970936400.0,18289896.0,81739082700.0,16706794100.0,27286900800.0,130320560500.0
"Egypt, Arab Rep.",EGY,115107510878.37,72393571621.6233,118365995.0,340994546616.78,19889804521.6478,47084218298.0563,365254630179.7374
El Salvador,SLV,20597470000.0,11763690000.0,6365503.0,29851000000.0,6024860000.0,9666020000.0,36708100000.0
Equatorial Guinea,GNQ,3643355302.10971,5965354779.22415,1938431.0,6817583188.7149,4155420193.46532,-471792385.772574,12823210473.522083
Estonia,EST,36400718571.8596,36854468950.5399,1366475.0,24766756835.54,10091245478.2835,11686446063.0957,46998198755.59951
Ethiopia,ETH,25494178576.2035,16785187367.6025,135472051.0,102265804963.379,7378597669.12103,25423347024.4574,126358758448.35645
Finland,FIN,130205696939.608,134192277447.843,5646436.0,160962707952.549,82644706692.5489,69444243683.1372,317038238836.4701
France,FRA,1137799795606.86,1124107902931.06,68720337.0,1821378461558.35,820113737437.803,738515734125.293,3366316040445.645
Gabon,GAB,6299423682.95942,11890462993.1663,2593130.0,8124962222.29068,2391640030.58994,5319478103.18636,21427119666.273857
"Gambia, The",GMB,1282337368.5052,330185893.239135,2822093.0,2233292839.90581,265044181.807563,1047488548.41279,2593674094.8600974
Georgia,GEO,20300929830.9143,18082223921.5759,3935766.0,26964122085.0705,5281881097.02398,8116315582.38055,38143612855.13664
Germany,DEU,1923292318697.25,2042329262308.23,83491249.0,2686936052837.25,1137207119451.37,1107742809147.45,5050922925047.051
Greece,GRC,123451154937.678,110743741990.477,10413962.0,193774895006.086,51176350955.0093,48391686050.5803,280635519064.4746
Guatemala,GTM,38185944239.1888,19185393857.5219,18687881.0,107499844859.296,14126745072.5086,20679964974.5284,123306004524.66612
Guinea,GIN,17649957798.7358,11738637526.4471,15099727.0,19029523620.1644,4740114598.0771,10487706808.9014,28346024754.854195
Guinea-Bissau,GNB,682869562.110331,350530220.912147,2249515.0,1816319554.56739,391440769.849517,652509289.711153,2527930272.929876
Haiti,HTI,4595232441.49706,500396994.725824,11906095.0,30531149101.4326,1772573160.9125,3868383941.9788,32077270757.55266
Honduras,HND,22380972288.9837,13857222810.3654,11005850.0,32527756772.6641,6027844913.86726,9569553042.22012,39601405250.13318
