country_name,country_code,imports_usd,exports_usd,population_total,gdp_usd
Post-demographic dividend,PST,19675342557390.4,19481236904657.9,1132621782,67379697065259.9
Puerto Rico (US),PRI,56372200000.0,60652000000.0,3184835,129368484000.0
Romania,ROU,174602572419.192,152113432501.957,19020271,428677977854.826
Russian Federation,RUS,397181687664.146,466237273304.333,143513328,2561310169358.74
Rwanda,RWA,5749666891.7462,3528969299.26467,14569341,16372132990.2271
Samoa,WSM,553949848.283117,355715052.484773,219306,1287936621.64619
Sao Tome and Principe,STP,326819594.28308,130155394.190871,240254,981293586.906408
Saudi Arabia,SAU,359757600000.0,379825066666.667,36973555,1276942933333.33
Senegal,SEN,14277431782.6964,12022634773.9314,18931966,37006536238.3731
Serbia,SRB,58583048490.316,54287734484.3107,6549143,99953324472.9042
Seychelles,SYC,2212019783.97138,1900518394.81236,122730,2387022853.48583
Sierra Leone,SLE,2105266492.69829,1559342046.4639,8819794,7464157904.43509
Singapore,SGP,860239550269.609,1073990898313.51,6111175,603869516998.738
Slovak Republic,SVK,131733585558.917,131496787422.657,5413813,154530066506.895
Slovenia,SVN,58362937489.5356,62634926878.6125,2130986,79648204979.3618
Small states,SST,236830030876.141,252774245493.117,20347135,337311651764.509
"Somalia, Fed. Rep.",SOM,12841200000.5979,3800899999.86713,19654739,12995200000.2658
South Africa,ZAF,126023231104.646,134179428667.706,64747319,427184325997.307
South Asia,SAS,1074229317752.79,963111456539.326,1692252900,4578021773987.28
South Asia (IDA & IBRD),TSA,1074229317752.79,963111456539.326,1692252900,4578021773987.28
Spain,ESP,625571094598.823,698476476631.372,49355143,1906453309985.88
Sri Lanka,LKA,24857449190.3417,20641294805.6633,21756000,108825231671.196
Sub-Saharan Africa,SSF,616444170436.135,616007475886.722,1321654217,2211221046102.8
Sub-Saharan Africa (IDA & IBRD countries),TSS,616444170436.135,616007475886.722,1321654217,2211221046102.8
Sub-Saharan Africa (excluding high income),SSA,614147336287.555,613890246637.527,1321531487,2208834023249.31
Sudan,SDN,769412868.639492,663619143.86802,51662147,60162634574.4689
Sweden,SWE,341902516919.053,356098645397.388,10596620,668998664082.081
Switzerland,CHE,721176290537.446,814503715316.446,9092436,1043529899250.92
Tanzania,TZA,18016880758.522,17113455948.0633,70545865,90143496090.4411
Thailand,THA,388129158917.05,410531624594.48,71619863,577009981112.015
Tunisia,TUN,31508376159.6476,26826069545.4849,12348573,57502836548.0878
Turkiye,TUR,400679511057.207,396923725496.326,85878556,1597293229287.0
Turkmenistan,TKM,6824243539.04166,7210521475.21383,7618847,49828621355.6516
Uganda,UGA,17826764688.3341,13289512670.7607,51384894,61985829288.1496
Ukraine,UKR,111072990302.021,54272867488.1444,38980376,214233312784.397
United Kingdom,GBR,1275239250327.84,1224670037744.72,69487000,4002587541846.01
Upper middle income,UMC,7966402978178.69,8678295556818.62,3078912188,33529653863548.8
Uruguay,URY,19327594037.2027,23104847902.7936,3384688,85347696277.6859
Uzbekistan,UZB,51999343254.4106,32401308149.1144,37053428,147038081129.405
"Venezuela, RB",VEN,10074121350.14,14852682003.4522,28516896,99661244155.6306
Viet Nam,VNM,473997023086.435,505661231330.217,101598527,514697215165.065
West Bank and Gaza,PSE,9190000000.0,3644200000.0,5413596,17167100000.0
World,WLD,33728843548701.2,34890517618618.2,8215424893,118350166039396.0
